ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,lat,lon
5A8,medium_airport,Aleknagik / New Airport,66,NA,US,US-AK,Aleknagik,5A8,WKK,5A8,59.2826004,-158.6179962
KABE,medium_airport,Lehigh Valley International Airport,393,NA,US,US-PA,Allentown,KABE,ABE,ABE,40.65209961,-75.44080353
KABI,medium_airport,Abilene Regional Airport,1791,NA,US,US-TX,Abilene,KABI,ABI,ABI,32.41130066,-99.68190002
KABQ,large_airport,Albuquerque International Sunport,5355,NA,US,US-NM,Albuquerque,KABQ,ABQ,ABQ,35.040199,-106.609001
KABR,medium_airport,Aberdeen Regional Airport,1302,NA,US,US-SD,Aberdeen,KABR,ABR,ABR,45.44910049,-98.42179871
KABY,medium_airport,Southwest Georgia Regional Airport,197,NA,US,US-GA,Albany,KABY,ABY,ABY,31.53549957,-84.19450378
KACK,medium_airport,Nantucket Memorial Airport,47,NA,US,US-MA,Nantucket,KACK,ACK,ACK,41.25310135,-70.06020355
KACT,medium_airport,Waco Regional Airport,516,NA,US,US-TX,Waco,KACT,ACT,ACT,31.61129951,-97.23049927
KACV,medium_airport,California Redwood Coast-Humboldt County Airport,221,NA,US,US-CA,Arcata/Eureka,KACV,ACV,ACV,40.978101,-124.109
KACY,medium_airport,Atlantic City International Airport,75,NA,US,US-NJ,Atlantic City,KACY,ACY,ACY,39.45759964,-74.57720184
KADW,large_airport,Joint Base Andrews,280,NA,US,US-MD,Camp Springs,KADW,ADW,ADW,38.810799,-76.866997
KAEX,medium_airport,Alexandria International Airport,89,NA,US,US-LA,Alexandria,KAEX,AEX,AEX,31.32740021,-92.54979706
KAFW,large_airport,Fort Worth Alliance Airport,722,NA,US,US-TX,Fort Worth,KAFW,AFW,AFW,32.98759842,-97.31880188
KAGC,medium_airport,Allegheny County Airport,1252,NA,US,US-PA,Pittsburgh,KAGC,AGC,AGC,40.35440063,-79.93019867
KAGS,large_airport,Augusta Regional At Bush Field,144,NA,US,US-GA,Augusta,KAGS,AGS,AGS,33.36989975,-81.96450043
KAHN,medium_airport,Athens Ben Epps Airport,808,NA,US,US-GA,Athens,KAHN,AHN,AHN,33.94860077,-83.32630157
KAKR,medium_airport,Akron Fulton International Airport,1067,NA,US,US-OH,Akron,KAKR,AKC,AKR,41.03749847,-81.46690369
KALB,medium_airport,Albany International Airport,285,NA,US,US-NY,Albany,KALB,ALB,ALB,42.74829865,-73.80169678
KALI,medium_airport,Alice International Airport,178,NA,US,US-TX,Alice,KALI,ALI,ALI,27.74090004,-98.02690125
KALM,medium_airport,Alamogordo White Sands Regional Airport,4200,NA,US,US-NM,Alamogordo,KALM,ALM,ALM,32.83990097,-105.9909973
