Arrival,Departure,Flights,Inverse Flights,Distance,Flight Time Hrs
OGG,HNL,2490,0.00040160642570281126,131.8339565254162,0.5808968684135435
HNL,OGG,2488,0.00040192926045016077,131.8339565254162,0.5808968684135435
SFO,LAX,2164,0.0004621072088724584,368.5897495607263,1.0796624057412636
LAX,SFO,2041,0.0004899559039686428,368.5897495607263,1.0796624057412636
LAX,LAS,1904,0.0005252100840336134,267.35246278672054,0.8663891882706913
LAS,LAX,1895,0.0005277044854881266,267.35246278672054,0.8663891882706913
LIH,HNL,1883,0.0005310674455655868,132.65494153775794,0.5826264101728768
HNL,LIH,1840,0.0005434782608695652,132.65494153775794,0.5826264101728768
LAX,JFK,1736,0.000576036866359447,2537.563876337365,5.648967899484049
JFK,LAX,1714,0.0005834305717619603,2537.563876337365,5.648967899484049
HNL,KOA,1708,0.000585480093676815,194.3933783582102,0.7126887170746296
KOA,HNL,1703,0.0005871990604815032,194.3933783582102,0.7126887170746296
LNY,HNL,1618,0.0006180469715698393,103.92712483537595,0.5221064763198587
DEN,PHX,1590,0.0006289308176100629,664.0777191540633,1.70215706168456
PHX,DEN,1590,0.0006289308176100629,664.0777191540633,1.70215706168456
LGA,ORD,1585,0.0006309148264984228,795.5521635964789,1.9791298913099156
ORD,LGA,1582,0.0006321112515802782,795.5521635964789,1.9791298913099156
LAS,DEN,1580,0.0006329113924050633,690.5199988644873,1.7578621309411868
MCO,ATL,1576,0.0006345177664974619,465.82138342838084,1.284497047755789
DEN,LAS,1574,0.0006353240152477764,690.5199988644873,1.7578621309411868
ATL,MCO,1567,0.0006381620931716656,465.82138342838084,1.284497047755789
BOS,DCA,1525,0.0006557377049180328,461.269660204048,1.2749080841631946
DCA,BOS,1523,0.0006565988181221273,461.269660204048,1.2749080841631946
ITO,HNL,1445,0.0006920415224913495,247.5585223667561,0.8246899537859663
LAX,SEA,1431,0.0006988120195667365,1016.25730898182,2.444082064255034
BOS,LGA,1416,0.0007062146892655367,215.7041933956626,0.7575835007535293
HNL,ITO,1413,0.0007077140835102619,247.5585223667561,0.8246899537859663
LGA,BOS,1413,0.0007077140835102619,215.7041933956626,0.7575835007535293
PHX,LAS,1397,0.0007158196134574087,286.3903841880245,0.9064957426894383
LAS,PHX,1387,0.0007209805335255948,286.3903841880245,0.9064957426894383
LGA,ATL,1387,0.0007209805335255948,823.8348648087491,2.0387121151970984
ATL,LGA,1383,0.0007230657989877079,823.8348648087491,2.0387121151970984
SEA,LAX,1381,0.000724112961622013,1016.25730898182,2.444082064255034
HNL,LNY,1371,0.0007293946024799417,103.92712483537595,0.5221064763198587
ATL,FLL,1336,0.0007485029940119761,642.9202408243536,1.6575853073366384
FLL,ATL,1335,0.000749063670411985,642.9202408243536,1.6575853073366384
DEN,SLC,1326,0.0007541478129713424,453.144384770364,1.257790837249567
SLC,DEN,1321,0.000757002271006813,453.144384770364,1.257790837249567
LAX,DEN,1284,0.000778816199376947,924.1912874957709,2.2501296456577577
DEN,LAX,1277,0.0007830853563038371,924.1912874957709,2.2501296456577577
SFO,JFK,1272,0.0007861635220125787,2648.768289390569,5.883238529649465
JFK,SFO,1270,0.0007874015748031496,2648.768289390569,5.883238529649465
MCO,EWR,1265,0.0007905138339920949,999.7595086303818,2.409326698181338
SAN,LAS,1256,0.0007961783439490446,289.500338075333,0.9130473788787015
ANC,SEA,1234,0.0008103727714748784,1510.9106051347806,3.4861516748172714
EWR,MCO,1223,0.0008176614881439084,999.7595086303818,2.409326698181338
PHX,SEA,1210,0.0008264462809917355,1169.0696371515653,2.7660067022659645
LAS,SAN,1208,0.0008278145695364238,289.500338075333,0.9130473788787015
LAS,SEA,1207,0.0008285004142502071,928.8156389997797,2.2598716128262026
SEA,LAS,1207,0.0008285004142502071,928.8156389997797,2.2598716128262026
SEA,PHX,1185,0.0008438818565400844,1169.0696371515653,2.7660067022659645
SEA,PDX,1182,0.0008460236886632825,160.33505922416973,0.640939191432251
LAS,BUR,1181,0.000846740050804403,254.18107451346626,0.8386414636417022
SEA,ANC,1181,0.000846740050804403,1510.9106051347806,3.4861516748172714
PHX,LAX,1178,0.0008488964346349745,432.3278169431031,1.2139372676934705
DFW,LAX,1177,0.0008496176720475786,1297.3169544676157,3.036181050745111
LAX,PHX,1174,0.0008517887563884157,432.3278169431031,1.2139372676934705
