city_fips,cbsa_fips,City,State,st_fips,pop_2010,Population,lon,lat,Name,id
4549075,34820,Myrtle Beach,South Carolina,45,27109,536165,-78.88430737,33.70960121,"Myrtle Beach, South Carolina",0
2147476,30940,London,Kentucky,21,7993,149462,-84.08040255,37.12093792,"London, Kentucky",1
4221872,20700,East Stroudsburg,Pennsylvania,42,9840,167198,-75.17787757,41.00228075,"East Stroudsburg, Pennsylvania",2
1233250,34940,Immokalee,Florida,12,24154,397994,-81.42512312,26.42529866,"Immokalee, Florida",3
4530850,24860,Greenville,South Carolina,45,58409,958958,-82.364848,34.83617312,"Greenville, South Carolina",4
1249675,35840,North Port,Florida,12,57357,891411,-82.19759754,27.0576743,"North Port, Florida",5
1245000,33100,Miami,Florida,12,399457,6139340,-80.21017417,25.78391824,"Miami, Florida",6
662000,40140,Riverside,California,6,303871,4667558,-117.394838,33.93812489,"Riverside, California",7
1304000,12060,Atlanta,Georgia,13,420003,6222106,-84.42256331,33.76261514,"Atlanta, Georgia",8
2469925,41540,Salisbury,Maryland,24,30343,439032,-75.58671682,38.37553496,"Salisbury, Maryland",9
1215475,18880,Crestview,Florida,12,20978,299786,-86.57835356,30.74805961,"Crestview, Florida",10
4228960,23900,Gettysburg,Pennsylvania,42,7620,106027,-77.23388374,39.83036247,"Gettysburg, Pennsylvania",11
2657760,35660,Niles,Michigan,26,11600,152900,-86.24729747,41.83462869,"Niles, Michigan",12
4232800,25420,Harrisburg,Pennsylvania,42,49528,603493,-76.88425058,40.27523187,"Harrisburg, Pennsylvania",13
1259200,39460,Punta Gorda,Florida,12,16641,202661,-82.05161124,26.89337432,"Punta Gorda, Florida",14
1232400,26140,Homosassa Springs,Florida,12,13791,162529,-82.53914189,28.81181011,"Homosassa Springs, Florida",15
1253000,36740,Orlando,Florida,12,238300,2764182,-81.33676406,28.47710555,"Orlando, Florida",16
119648,19300,Daphne,Alabama,1,21570,246435,-87.88661573,30.62858953,"Daphne, Alabama",17
2680340,45900,Traverse City,Michigan,26,14674,155813,-85.60350615,44.75471374,"Traverse City, Michigan",18
1150000,47900,Washington,District of Columbia,11,601723,6373756,-77.01626662,38.90469545,"Washington, District of Columbia",19
4287048,49620,York,Pennsylvania,42,43718,461058,-76.73150071,39.9650958,"York, Pennsylvania",20
466470,43320,Show Low,Arizona,4,10660,108650,-110.0383788,34.26708688,"Show Low, Arizona",21
1255925,37860,Pensacola,Florida,12,51923,523146,-87.18862557,30.44270631,"Pensacola, Florida",22
1264875,42700,Sebring,Florida,12,10491,105618,-81.45297883,27.47694707,"Sebring, Florida",23
5408524,14140,Bluefield,West Virginia,54,10447,104669,-81.21429264,37.26076333,"Bluefield, West Virginia",24
4262432,39060,Pottsville,Pennsylvania,42,14324,143104,-76.20917163,40.67984167,"Pottsville, Pennsylvania",25
1271000,45300,Tampa,Florida,12,335709,3290730,-82.44533997,27.99401996,"Tampa, Florida",26
937000,25540,Hartford,Connecticut,9,124775,1221725,-72.68341807,41.76605516,"Hartford, Connecticut",27
2412150,15680,California,Maryland,24,11857,114877,-76.49494916,38.29685959,"California, Maryland",28
3654485,36300,Ogdensburg,New York,36,11128,107733,-75.47172617,44.70883872,"Ogdensburg, New York",29
2743000,33460,Minneapolis,Minnesota,27,382578,3693729,-93.26782012,44.96346695,"Minneapolis, Minnesota",30
4459000,39300,Providence,Rhode Island,44,178042,1673802,-71.41868563,41.82300866,"Providence, Rhode Island",31
4241216,29540,Lancaster,Pennsylvania,42,59322,556629,-76.30115803,40.04200174,"Lancaster, Pennsylvania",32
4568290,43900,Spartanburg,South Carolina,45,37013,345831,-81.92564941,34.94370876,"Spartanburg, South Carolina",33
