city_fips,cbsa_fips,City,State,st_fips,pop_2010,Population,lon,lat
4549075,34820,Myrtle Beach,South Carolina,45,27109,536165,-78.88430737,33.70960121
2147476,30940,London,Kentucky,21,7993,149462,-84.08040255,37.12093792
4221872,20700,East Stroudsburg,Pennsylvania,42,9840,167198,-75.17787757,41.00228075
1233250,34940,Immokalee,Florida,12,24154,397994,-81.42512312,26.42529866
4530850,24860,Greenville,South Carolina,45,58409,958958,-82.364848,34.83617312
1249675,35840,North Port,Florida,12,57357,891411,-82.19759754,27.0576743
1245000,33100,Miami,Florida,12,399457,6139340,-80.21017417,25.78391824
662000,40140,Riverside,California,6,303871,4667558,-117.394838,33.93812489
1304000,12060,Atlanta,Georgia,13,420003,6222106,-84.42256331,33.76261514
2469925,41540,Salisbury,Maryland,24,30343,439032,-75.58671682,38.37553496
1215475,18880,Crestview,Florida,12,20978,299786,-86.57835356,30.74805961
4228960,23900,Gettysburg,Pennsylvania,42,7620,106027,-77.23388374,39.83036247
2657760,35660,Niles,Michigan,26,11600,152900,-86.24729747,41.83462869
4232800,25420,Harrisburg,Pennsylvania,42,49528,603493,-76.88425058,40.27523187
1259200,39460,Punta Gorda,Florida,12,16641,202661,-82.05161124,26.89337432
1232400,26140,Homosassa Springs,Florida,12,13791,162529,-82.53914189,28.81181011
1253000,36740,Orlando,Florida,12,238300,2764182,-81.33676406,28.47710555
119648,19300,Daphne,Alabama,1,21570,246435,-87.88661573,30.62858953
2680340,45900,Traverse City,Michigan,26,14674,155813,-85.60350615,44.75471374
1150000,47900,Washington,District of Columbia,11,601723,6373756,-77.01626662,38.90469545
4287048,49620,York,Pennsylvania,42,43718,461058,-76.73150071,39.9650958
466470,43320,Show Low,Arizona,4,10660,108650,-110.0383788,34.26708688
1255925,37860,Pensacola,Florida,12,51923,523146,-87.18862557,30.44270631
1264875,42700,Sebring,Florida,12,10491,105618,-81.45297883,27.47694707
5408524,14140,Bluefield,West Virginia,54,10447,104669,-81.21429264,37.26076333
4262432,39060,Pottsville,Pennsylvania,42,14324,143104,-76.20917163,40.67984167
1271000,45300,Tampa,Florida,12,335709,3290730,-82.44533997,27.99401996
937000,25540,Hartford,Connecticut,9,124775,1221725,-72.68341807,41.76605516
2412150,15680,California,Maryland,24,11857,114877,-76.49494916,38.29685959
3654485,36300,Ogdensburg,New York,36,11128,107733,-75.47172617,44.70883872
2743000,33460,Minneapolis,Minnesota,27,382578,3693729,-93.26782012,44.96346695
4459000,39300,Providence,Rhode Island,44,178042,1673802,-71.41868563,41.82300866
4241216,29540,Lancaster,Pennsylvania,42,59322,556629,-76.30115803,40.04200174
4568290,43900,Spartanburg,South Carolina,45,37013,345831,-81.92564941,34.94370876
3601000,10580,Albany,New York,36,97856,904617,-73.79864407,42.66636927
3731060,25860,Hickory,North Carolina,37,40010,368347,-81.3230094,35.7425611
2965000,41180,St. Louis,Missouri,29,319294,2801319,-90.24514662,38.63576308
4955980,36260,Ogden,Utah,49,82825,713839,-111.9677304,41.22801123
3629333,24020,Glens Falls,New York,36,14700,126440,-73.64585952,43.31091235
2360545,38860,Portland,Maine,23,66194,561576,-70.27151069,43.67727353
1217200,19660,Deltona,Florida,12,85182,705897,-81.21362352,28.90496671
3969834,41400,Salem,Ohio,39,12303,100511,-80.84906987,40.90493754
1238250,29460,Lakeland,Florida,12,97422,787404,-81.95457076,28.05558407
3751940,38240,Pinehurst,North Carolina,37,13124,105531,-79.46823698,35.19222378
3988000,49660,Youngstown,Ohio,39,66982,535499,-80.64633557,41.09931221
2507000,14460,Boston,Massachusetts,25,617594,4900550,-71.08463279,42.31878296
523290,22220,Fayetteville,Arkansas,5,73580,576403,-94.16596612,36.07131271
4212536,16540,Chambersburg,Pennsylvania,42,20268,156902,-77.65560166,39.93147348
4261000,38300,Pittsburgh,Pennsylvania,42,305704,2349172,-79.97626702,40.43961404
1264825,42680,Sebastian,Florida,12,21929,167352,-80.48152732,27.78830041
3639727,28740,Kingston,New York,36,23893,182319,-73.99676582,41.92948915
3915000,17140,Cincinnati,Ohio,39,296943,2265051,-84.50595021,39.14122708
2436075,25180,Hagerstown,Maryland,24,39662,302510,-77.72169746,39.64014602
2655020,33780,Monroe,Michigan,26,20733,155609,-83.38495627,41.91541585
4269000,42540,Scranton,Pennsylvania,42,76089,567998,-75.6648973,41.40435932
1311560,15260,Brunswick,Georgia,13,15383,114442,-81.47398512,31.14500481
4202000,10900,Allentown,Pennsylvania,42,118032,871229,-75.47554973,40.59611706
5307695,14740,Bremerton,Washington,53,37729,277673,-122.7121894,47.54357992
5586925,48580,Whitewater,Wisconsin,55,14390,105380,-88.73403989,42.83718608
5439460,26580,Huntington,West Virginia,54,49138,354304,-82.43438569,38.41090248
1250750,36100,Ocala,Florida,12,56315,396415,-82.15114643,29.17802476
3402080,12100,Atlantic City,New Jersey,34,39558,275638,-74.45268342,39.37968107
4513330,16700,Charleston,South Carolina,45,120083,830529,-79.96315069,32.81496986
2232755,25220,Hammond,Louisiana,22,20019,137048,-90.45627534,30.50611215
4845384,32580,McAllen,Texas,48,129877,888367,-98.24714667,26.22710356
4967000,41620,Salt Lake City,Utah,49,186440,1266191,-111.9300416,40.7774064
952000,35300,New Haven,Connecticut,9,129779,869527,-72.92455091,41.31121469
908000,14860,Bridgeport,Connecticut,9,144229,962946,-73.19534681,41.19177158
956200,35980,Norwich,Connecticut,9,40493,268681,-72.08824983,41.54947392
4819000,19100,Dallas,Texas,48,1197816,7943685,-96.76637496,32.79338879
5363000,42660,Seattle,Washington,53,608660,4034248,-122.3243513,47.62097546
2302100,12300,Augusta,Maine,23,19136,125540,-69.73187666,44.33409824
5167000,40060,Richmond,Virginia,51,204214,1339182,-77.47555109,37.52944367
4516000,17900,Columbia,South Carolina,45,129272,847686,-80.90370395,34.03762451
4739560,28700,Kingsport,Tennessee,47,48205,311272,-82.54519205,36.52240287
5351300,36500,Olympia,Washington,53,46478,298758,-122.8958953,47.04170902
5405332,13220,Beckley,West Virginia,54,17614,112369,-81.1840429,37.78774451
4962470,39340,Provo,Utah,49,112488,715001,-111.6457412,40.24573849
680588,46020,Truckee,California,6,16180,102293,-120.1848547,39.34546246
1331908,23580,Gainesville,Georgia,13,33804,212692,-83.83026472,34.29017719
4238288,27780,Johnstown,Pennsylvania,42,20978,131441,-78.91934963,40.32576028
668154,42020,San Luis Obispo,California,6,45119,282013,-120.6689097,35.26704338
1522700,27980,Kahului,Hawaii,15,26337,164351,-156.4602808,20.87151663
2829700,25060,Gulfport,Mississippi,28,67793,420782,-89.07034898,30.42702586
457380,39140,Prescott,Arizona,4,39843,246191,-112.4475308,34.58493386
4534045,25940,Hilton Head Island,South Carolina,45,37099,228410,-80.74989953,32.18956695
1254000,37340,Palm Bay,Florida,12,103190,630693,-80.66275821,27.95492966
2622000,19820,Detroit,Michigan,26,713777,4345761,-83.10238117,42.38338887
2236255,26380,Houma,Louisiana,22,33727,200656,-90.70578447,29.57992768
4775320,46100,Tullahoma,Tennessee,47,18655,110412,-86.21727631,35.37207621
2634000,24340,Grand Rapids,Michigan,26,188040,1094198,-85.65568989,42.96148128
5485156,48260,Weirton,West Virginia,54,19746,114235,-80.56708667,40.4060413
3921000,19380,Dayton,Ohio,39,141527,812595,-84.1998479,39.77968857
3702140,11700,Asheville,North Carolina,37,83393,476072,-82.55367015,35.57038545
667000,41860,San Francisco,California,6,805235,4579599,-122.4430541,37.75616239
4242168,30140,Lebanon,Pennsylvania,42,25477,144011,-76.42279097,40.34119408
3040075,28060,Kalispell,Montana,30,19927,111814,-114.3261328,48.21557208
5186720,49020,Winchester,Virginia,51,26203,146455,-78.17461449,39.17350625
2124274,21060,Elizabethtown,Kentucky,21,28531,157026,-85.87688993,37.70301469
